budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,7/25/1986,98,5.4,Emilio Estevez,24881,1986
25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,12/19/1986,94,6.9,Rick Moranis,53327,1986
2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,11/21/1986,93,5.9,Charlie Sheen,11635,1986
2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,4/11/1986,82,6.0,Dee Wallace,25517,1986
11000000,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,6/13/1986,96,6.6,Rodney Dangerfield,23120,1986
4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,8/22/1986,89,5.6,Dennis Hopper,21253,1986
15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,12/5/1986,130,6.8,Clint Eastwood,32954,1986
25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,11/26/1986,119,7.3,William Shatner,66366,1986
25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,12/12/1986,94,5.9,Eddie Murphy,42997,1986
1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,5/8/1987,99,7.1,Crispin Glover,12862,1986
25000000,L.A. Films,USA,John Landis,Comedy,39246734,ÐThree Amigos!,12/12/1986,104,6.4,Steve Martin,57406,1986
25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,5/23/1986,87,5.7,Sylvester Stallone,54851,1986
24500000,Warner Bros.,UK,Roland JoffÐ¹,Adventure,17218023,The Mission,10/31/1986,125,7.5,Robert De Niro,47497,1986
13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,10/17/1986,119,7.0,Paul Newman,62495,1986
